co2TailpipeGpm,cylinders,displ,drive,feScore,fuelType,make,UCity,UHighway,VClass,year,startStop,lv4,pv4,am
305,4,2.4,Front-Wheel Drive,8,Regular,Chevrolet,31.9796,51.8816,Midsize Cars,2013,Y,16,95,A
393,6,3.5,Rear-Wheel Drive,6,Premium,Lexus,24.1499,38.5,Midsize Cars,2013,Y,14,99,A
412,6,3.5,All-Wheel Drive,5,Premium,Lexus,23.5261,36.2109,Midsize Cars,2013,Y,14,99,A
423,6,3.7,All-Wheel Drive,5,Regular,Lincoln,22.6,36.7,Large Cars,2013,N,18,105,A
442,6,3.5,All-Wheel Drive,5,Regular,Lincoln,21.4,35.6,Large Cars,2013,N,18,105,A
421,6,3.7,Front-Wheel Drive,5,Regular,Lincoln,22.529,37.5393,Large Cars,2013,N,18,105,A
463,6,3.7,Front-Wheel Drive,5,Regular,Mazda,21.7,34.6,Midsize Cars,2013,N,17,102,A
425,6,3.5,All-Wheel Drive,5,Regular,Ford,22.7,36,Large Cars,2013,N,20,102,A
442,6,3.5,All-Wheel Drive,5,Regular,Ford,21.4,35.6,Large Cars,2013,N,20,102,A
425,6,3.5,All-Wheel Drive,5,Gasoline or E85,Ford,22.7,36,Large Cars,2013,N,20,102,A
393,6,3.5,Front-Wheel Drive,6,Regular,Ford,24.329,40.0311,Large Cars,2013,N,20,102,A
288,4,1.6,Front-Wheel Drive,8,Regular,Kia,38.7,56.5,Compact Cars,2013,N,14,88,A
279,4,1.6,Front-Wheel Drive,8,Regular,Kia,39.5,56.8,Compact Cars,2013,N,14,88,M
278,4,1.6,Front-Wheel Drive,8,Regular,Kia,40.7278,56.955,Compact Cars,2013,N,14,88,A
277,4,1.8,Front-Wheel Drive,8,Regular,Hyundai,37.8169,56.5,Midsize Cars,2013,N,15,96,A
277,4,1.8,Front-Wheel Drive,8,Regular,Hyundai,38.2,56.5,Midsize Cars,2013,N,15,96,M
278,4,1.8,Front-Wheel Drive,8,Regular,Hyundai,38.6483,57.0799,Midsize Cars,2013,N,15,96,A
361,4,2.5,Front-Wheel Drive,6,Regular,Mazda,27.1379,42.5144,Midsize Cars,2013,N,17,102,A
364,4,2.5,Front-Wheel Drive,6,Regular,Mazda,26.9,42.4,Midsize Cars,2013,N,17,102,M
393,6,3.5,Front-Wheel Drive,6,Gasoline or E85,Ford,24.329,40.0311,Large Cars,2013,N,20,102,A
478,8,4.8,All-Wheel Drive,4,Premium,Porsche,19.7,32.7,Large Cars,2013,N,25,98,A
468,8,4.8,All-Wheel Drive,4,Premium,Porsche,20.2,33.2,Large Cars,2013,N,25,98,A
468,8,4.8,Rear-Wheel Drive,4,Premium,Porsche,20.2,33.2,Large Cars,2013,N,25,98,A
283,6,3.5,Rear-Wheel Drive,8,Premium,Lexus,39.661,44.2662,Midsize Cars,2013,Y,13,99,A
339,4,2,Front-Wheel Drive,7,Regular,Hyundai,28.4,47.5,Large Cars,2013,N,16,104,A
323,4,2.4,Front-Wheel Drive,7,Regular,Hyundai,30.2388,49,Large Cars,2013,N,16,104,A
325,4,2.4,Front-Wheel Drive,7,Regular,Hyundai,30.2,48.9,Large Cars,2013,N,16,104,M
285,4,1.6,Front-Wheel Drive,8,Regular,Hyundai,38.2154,57.8957,Compact Cars,2013,N,14,90,A
276,4,1.6,Front-Wheel Drive,8,Regular,Hyundai,38.9,56.6,Compact Cars,2013,N,14,90,M
418,6,3,All-Wheel Drive,5,Premium,Audi,22.5575,37.3745,Midsize Cars,2013,N,15,100,A
305,4,2.4,Front-Wheel Drive,8,Regular,Buick,31.9796,51.8816,Midsize Cars,2013,Y,13,98,A
305,4,2.4,Front-Wheel Drive,8,Regular,Buick,31.9796,51.8816,Midsize Cars,2013,Y,16,100,A
557,8,6.2,Rear-Wheel Drive,3,Premium,Cadillac,17.5,26.2,Midsize Cars,2013,N,15,99,M
645,8,6.2,Rear-Wheel Drive,2,Regular,Cadillac,14.3089,24.391,Midsize Cars,2013,N,15,99,A
447,6,3.7,All-Wheel Drive,5,Premium,Infiniti,21.9,33.4,Midsize Cars,2013,N,15,104,A
418,6,3,All-Wheel Drive,5,Premium,Audi,22.5575,37.3745,Large Cars,2013,N,15,107,A
493,8,5,Rear-Wheel Drive,4,Premium,Hyundai,19.0869,32.2369,Large Cars,2013,N,17,111,A
421,6,3.6,Rear-Wheel Drive,5,Premium,Porsche,22.6,37.3,Large Cars,2013,N,25,98,A
428,6,3.6,All-Wheel Drive,5,Premium,Porsche,22.2,36.5,Large Cars,2013,N,25,98,A
